Participant;uid;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19

eP6QgFjoXu;;0;-1;0;1;2;2;0;1;0;0;1;-1;0;1;-1;-1;-2;0;-2

3WvV58gXrF;;-1;0;-1;0;1;1;-1;1;1;2;0;2;-1;0;0;0;-2;0;-2

hTaBi_OZDc;;0;0;-1;0;0;-2;1;-1;-1;0;2;0;-2;1;-1;0;2;1;1

5prUuJJlvM;;0;0;1;2;1;-1;-2;1;-1;0;0;0;0;2;-1;-1;0;1;-2

apzPxug52a;;0;0;1;2;1;-2;2;-1;0;-2;-1;-1;0;1;0;0;0;1;-1;

L1chlW_XAA;;1;2;0;0;0;1;0;0;0;2;-1;-1;0;-1;-2;-2;-1;1;1

iOMRAj0eOk;;1;1;-1;1;-1;1;0;0;0;2;-2;0;-1;0;-2;-1;2;0;0

t-FPI2XppC;;0;0;1;2;0;-2;-1;0;2;1;1;0;-1;1;-1;-2;-1;0;0

FpFcvL-qVD;;1;1;-2;1;-1;0;0;-1;-1;-2;0;0;0;2;0;1;0;2;-1

vM0W0J49L6;;1;2;-2;0;-1;0;-1;1;1;-1;0;0;-2;0;0;0;1;2;-1

Pu23FYQsD5;;2;1;-1;0;2;-1;1;-2;0;-1;0;-1;1;0;0;0;1;-2;0

GGh5AGaAzv;;0;2;0;2;1;-1;0;0;1;-1;-2;-2;0;0;0;1;-1;1;-1

ODQVwVkPlU;;1;1;-2;0;-1;-1;0;2;0;-1;-1;2;0;1;0;0;1;0;-2

HfTpjKMs2x;;1;0;0;2;-2;1;-1;-1;1;0;2;-1;0;0;1;-1;0;-2;0

xBbkn_Y3G1;;1;2;-2;-1;-1;1;-2;1;0;1;-1;-1;0;0;0;0;0;2;0

idBEDmUrUm;;0;0;-1;1;2;-1;1;1;0;-1;-1;-2;2;1;0;0;0;0;-2

EvjSnYp6FA;;0;0;-2;0;1;-2;0;0;-1;-1;1;-1;0;2;-1;0;1;2;1

P6LqiB67ru;;0;0;1;1;0;2;-1;-2;2;0;1;0;-2;0;-1;0;-1;1;-1

XpEqx0R_3C;;2;0;-2;1;0;-2;1;2;-1;-1;0;0;-1;0;-1;0;0;1;1

bjXFpBTyc9;;0;2;-2;1;1;2;-1;-1;1;-1;0;0;0;0;0;0;-2;1;-1

31ql9XM4vc;;1;1;-1;2;0;1;1;-1;0;0;-1;-2;0;2;-1;0;0;0;-2